,datetime,epoch_time,value,compensation
146,2024-08-08 02:00:00,1723082400000,193014.49585,0.0
147,2024-08-08 03:00:00,1723086000000,193028.50340000002,0.0
148,2024-08-08 04:00:00,1723089600000,193041.00035,0.0
149,2024-08-08 05:00:00,1723093200000,193054.9927,0.0
150,2024-08-08 06:00:00,1723096800000,193069.00024999998,0.0
151,2024-08-08 07:00:00,1723100400000,193082.00074999998,0.0
152,2024-08-08 08:00:00,1723104000000,193093.99414999998,0.0
153,2024-08-08 09:00:00,1723107600000,193106.50634999998,0.0
154,2024-08-08 10:00:00,1723111200000,193121.0022,0.0
155,2024-08-08 11:00:00,1723114800000,193135.49805,0.0
156,2024-08-08 12:00:00,1723118400000,193152.9999,0.0
157,2024-08-08 13:00:00,1723122000000,193169.99815,0.0
158,2024-08-08 14:00:00,1723125600000,193186.99645,0.0
159,2024-08-08 15:00:00,1723129200000,193204.4983,0.0
160,2024-08-08 16:00:00,1723132800000,193222.0001,0.0
161,2024-08-08 17:00:00,1723136400000,193238.49485,0.0
162,2024-08-08 18:00:00,1723140000000,193253.006,0.0
163,2024-08-08 19:00:00,1723143600000,193264.9994,0.0
164,2024-08-08 20:00:00,1723147200000,193276.99279999998,0.0
165,2024-08-08 21:00:00,1723150800000,193288.49790000002,0.0
166,2024-08-08 22:00:00,1723154400000,193300.5066,0.0
167,2024-08-08 23:00:00,1723158000000,193311.99645,0.0
168,2024-08-09 00:00:00,1723161600000,193322.99805,0.0
169,2024-08-09 01:00:00,1723165200000,193333.99965,0.0
170,2024-08-09 02:00:00,1723168800000,193345.50475,0.0
171,2024-08-09 03:00:00,1723172400000,193356.50634999998,0.0
172,2024-08-09 04:00:00,1723176000000,193367.4927,0.0
173,2024-08-09 05:00:00,1723179600000,193378.49425,0.0
174,2024-08-09 06:00:00,1723183200000,193388.50405,0.0
175,2024-08-09 07:00:00,1723186800000,193401.00100000002,0.0
176,2024-08-09 08:00:00,1723190400000,193411.49899999998,0.0
177,2024-08-09 09:00:00,1723194000000,193421.49355,0.0
178,2024-08-09 10:00:00,1723197600000,193432.4951,0.0
179,2024-08-09 11:00:00,1723201200000,193443.4967,0.0
180,2024-08-09 12:00:00,1723204800000,193453.99474999998,0.0
181,2024-08-09 13:00:00,1723208400000,193465.4999,0.0
182,2024-08-09 14:00:00,1723212000000,193478.50035,0.0
183,2024-08-09 15:00:00,1723215600000,193492.0044,0.0
184,2024-08-09 16:00:00,1723219200000,193505.9967,0.0
185,2024-08-09 17:00:00,1723222800000,193518.9972,0.0
186,2024-08-09 18:00:00,1723226400000,193531.49414999998,0.0
187,2024-08-09 19:00:00,1723230000000,193544.00634999998,0.0
188,2024-08-09 20:00:00,1723233600000,193557.99865,0.0
189,2024-08-09 21:00:00,1723237200000,193572.4945,0.0
190,2024-08-09 22:00:00,1723240800000,193587.0056,0.0
191,2024-08-09 23:00:00,1723244400000,193601.50145,0.0
192,2024-08-10 00:00:00,1723248000000,193615.49375000002,0.0
193,2024-08-10 01:00:00,1723251600000,193630.0049,0.0
194,2024-08-10 02:00:00,1723255200000,193644.50074999998,0.0
195,2024-08-10 03:00:00,1723258800000,193658.00475,0.0
196,2024-08-10 04:00:00,1723262400000,193673.49245,0.0
197,2024-08-10 05:00:00,1723266000000,193687.5,0.0
198,2024-08-10 06:00:00,1723269600000,193700.5005,0.0
199,2024-08-10 07:00:00,1723273200000,193716.50695,0.0
200,2024-08-10 08:00:00,1723276800000,193733.50525000002,0.0
201,2024-08-10 09:00:00,1723280400000,193751.49535,0.0
202,2024-08-10 10:00:00,1723284000000,193770.00425,0.0
203,2024-08-10 11:00:00,1723287600000,193787.00255,0.0
204,2024-08-10 12:00:00,1723291200000,193805.4962,0.0
205,2024-08-10 13:00:00,1723294800000,193824.00515,0.0
206,2024-08-10 14:00:00,1723298400000,193843.50585000002,0.0
207,2024-08-10 15:00:00,1723302000000,193860.50415,0.0
208,2024-08-10 16:00:00,1723305600000,193880.0049,0.0
209,2024-08-10 17:00:00,1723309200000,193897.995,0.0
210,2024-08-10 18:00:00,1723312800000,193912.9944,0.0
211,2024-08-10 19:00:00,1723316400000,193923.00415,0.0
212,2024-08-10 20:00:00,1723320000000,193936.00465,0.0
213,2024-08-10 21:00:00,1723323600000,193949.99695,0.0
214,2024-08-10 22:00:00,1723327200000,193964.00449999998,0.0
215,2024-08-10 23:00:00,1723330800000,193979.0039,0.0
216,2024-08-11 00:00:00,1723334400000,193993.49975000002,0.0
217,2024-08-11 01:00:00,1723338000000,194007.9956,0.0
218,2024-08-11 02:00:00,1723341600000,194022.00314999997,0.0
219,2024-08-11 03:00:00,1723345200000,194039.505,0.0
220,2024-08-11 04:00:00,1723348800000,194061.00465,0.0
221,2024-08-11 05:00:00,1723352400000,194087.0056,0.0
222,2024-08-11 06:00:00,1723356000000,194115.99730000002,0.0
223,2024-08-11 07:00:00,1723359600000,194141.00645,0.0
224,2024-08-11 08:00:00,1723363200000,194168.5028,0.0
